MonitoringLocationIdentifier,MonitoringLocationName,LatitudeMeasure,LongitudeMeasure
USGS-04072076,"SILVER CREEK AT FLORIST DRIVE AT ONEIDA, WI",44.49,-88.1811111
USGS-04072150,"DUCK CREEK NEAR HOWARD, WI",44.53338889,-88.1296944
USGS-04084911,"PLUM CREEK NEAR WRIGHTSTOWN, WI",44.3055449,-88.1712146
USGS-04085068,"ASHWAUBENON CREEK NEAR LITTLE RAPIDS, WI",44.4141571,-88.1270474
USGS-040850684,"ASHWAUBENON CREEK AT GRANT ST NR WEST DEPERE, WI",44.445,-88.09888889
USGS-04085074,"DUTCHMAN CREEK AT CYRUS ST NR ASHWAUBENON, WI",44.4663792,-88.1431588
USGS-04085078,"DUTCHMAN CREEK AT HANSEN RD AT ASHWAUBENON, WI",44.4835,-88.087
USGS-04085108,"EAST RIVER @ CNTY TRUNK HIGHWAY ZZ NR GREENLEAF,WI",44.37194444,-88.0922222
USGS-04085138,"EAST RIVER AT GREEN BAY, WI",44.5091593,-87.9917702
USGS-040851385,"FOX RIVER AT OIL TANK DEPOT AT GREEN BAY, WI",44.5286111,-88.01
USGS-441520088045001,"GLRI EAST RIVER WATERWAY 3 NEAR GREENLEAF, WI",44.25569444,-88.0805278
USGS-441520088045002,"GLRI EAST RIVER TILE 1 NEAR GREENLEAF, WI",44.25563889,-88.0805833
USGS-441546088082001,"GLRI EAST RIVER WATERWAY NUMBER 2 NR GREENLEAF, WI",44.2628333,-88.13875
USGS-442114088085701,"GLRI WATERWAY NUMBER 5 NR WRIGHTSTOWN, WI",44.3539722,-88.1491944
USGS-442119088085501,"GLRI WATERWAY NUMBER 4 NR WRIGHTSTOWN, WI",44.35530556,-88.1486667
ONEIDA_WQX-DCCL,Dutchman Creek at Cyrus Lane,44.4664,-88.1434
ONEIDA_WQX-DCPP,Duck Creek at Pamperin Park,44.5448,-88.103
ONEIDA_WQX-LBN,Lancaster Brook At Navajo,44.5551,-88.1284
ONEIDA_WQX-OL,Osnuhsa Lake,44.5273,-88.1329
ONEIDA_WQX-QL,Quarry Lake,44.5178,-88.1661
ONEIDA_WQX-SLV,Silver Creek at Hwy 54,44.5089,-88.1575
ONEIDA_WQX-TCBW,Trout Creek at Brookwood Drive,44.5445,-88.154
ONEIDA_WQX-TCFF,Trout Cr. at HWY FF,44.5356,-88.1298
ONEIDA_WQX-TCU,Trout Creek at CH U,44.5511,-88.1905
ONEIDA_WQX-THCC,Thornberry Cr. at Crooked Creek Dr.,44.5564,-88.1376
WIDNR_WQX-053210,Fox River - Above De Pere Dam,44.444934,-88.062507
WIDNR_WQX-053222,Fox River at Green Bay Yacht Club,44.536792,-88.004698
WIDNR_WQX-053508,EAST RIVER - MALLARD ROAD,44.335457,-88.11203
WIDNR_WQX-053675,EAST RIVER - HWY G,44.435503,-88.024565
WIDNR_WQX-053683,Baird Creek at Preble WI,44.507416,-87.967544
WIDNR_WQX-053684,Apple Creek - Rosin Rd,44.348511,-88.161183
WIDNR_WQX-10009445,BOWER CREEK (1) 50M UPSTREAM OF HWY GV,44.45179,-87.99543
WIDNR_WQX-10010769,Wequiok Creek 1-Nicolet Rd/Cth A,44.57843,-87.89308
WIDNR_WQX-10015851,Dutchmans Creek - Oneida Street,44.478602,-88.072319
WIDNR_WQX-10016494,TRIBUTARY TO PLUM CREEK - DOWNSTREAM OF COUNTY LINE ROAD,44.301832,-88.190164
WIDNR_WQX-10016502,ASHWAUBENON CREEK - GRANT STREET,44.445086,-88.098749
WIDNR_WQX-10034510,Unnamed Trib (410000) at Lakeview Dr. (175m US),44.565834,-88.06471
WIDNR_WQX-10038644,Duck Creek-Pamperin Park,44.544773,-88.10285
WIDNR_WQX-10043279,East River at Harold Lewis Trail off Main Street,44.51633,-88.005878
WIDNR_WQX-10046999,Plum Creek at VandeHey Farm crossing,44.315404,-88.171541
WIDNR_WQX-10057468,FA1.3_FY23_GB_01,44.568609,-87.950251
